id,wikidataId,placeType,nameType,name,searchKey
https://d-nb.info/gnd/4846813-7,http://www.wikidata.org/entity/Q676431,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Linth (Kanton),
https://d-nb.info/gnd/4846813-7,http://www.wikidata.org/entity/Q676431,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Kanton Linth,
https://d-nb.info/gnd/10125331-X,None,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Nueva Esparta (Estado),
https://d-nb.info/gnd/10125331-X,None,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Nueva Esparta (Staat),
https://d-nb.info/gnd/10125412-X,None,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Cojedes (Staat),
https://d-nb.info/gnd/10125412-X,None,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Cojedes (Estado),
https://d-nb.info/gnd/10125412-X,None,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Staat Cojedes,
https://d-nb.info/gnd/10125427-1,http://www.wikidata.org/entity/Q205784,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Portuguesa (Estado),
https://d-nb.info/gnd/10125427-1,http://www.wikidata.org/entity/Q205784,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Portuguesa (Staat),
https://d-nb.info/gnd/7543523-8,None,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Venezuela / Dependencias Federales,
