id,wikidataId,placeType,nameType,name,lowercaseName
https://d-nb.info/gnd/14282-7,http://www.wikidata.org/entity/Q654342,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Rhodesia and Nyasaland,rhodesia and nyasaland
https://d-nb.info/gnd/14282-7,http://www.wikidata.org/entity/Q654342,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Federation of Rhodesia and Nyasaland,federation of rhodesia and nyasaland
https://d-nb.info/gnd/14282-7,http://www.wikidata.org/entity/Q654342,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Zentralafrikanischer Bund,zentralafrikanischer bund
https://d-nb.info/gnd/14282-7,http://www.wikidata.org/entity/Q654342,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Central African Federation,central african federation
https://d-nb.info/gnd/14282-7,http://www.wikidata.org/entity/Q654342,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Zentralafrikanische Föderation,zentralafrikanische föderation
https://d-nb.info/gnd/15582-2,http://www.wikidata.org/entity/Q798431,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Dahomé (1960-1975),dahomé (1960-1975)
https://d-nb.info/gnd/15582-2,http://www.wikidata.org/entity/Q798431,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,République du Dahomey,république du dahomey
https://d-nb.info/gnd/15582-2,http://www.wikidata.org/entity/Q798431,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Dahome,dahome
https://d-nb.info/gnd/15582-2,http://www.wikidata.org/entity/Q798431,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Danxomè,danxomè
https://d-nb.info/gnd/15582-2,http://www.wikidata.org/entity/Q798431,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Danxomɛ,danxomɛ
https://d-nb.info/gnd/15582-2,http://www.wikidata.org/entity/Q798431,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Danxômè,danxômè
https://d-nb.info/gnd/15582-2,http://www.wikidata.org/entity/Q798431,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Dahomey,dahomey
https://d-nb.info/gnd/15612-7,None,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Haute-Volta,haute-volta
https://d-nb.info/gnd/15612-7,None,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Upper Volta,upper volta
https://d-nb.info/gnd/15612-7,None,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,République de Haute-Volta,république de haute-volta
https://d-nb.info/gnd/15612-7,None,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Republik Obervolta,republik obervolta
https://d-nb.info/gnd/15612-7,None,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Obervolta,obervolta
https://d-nb.info/gnd/15633-4,None,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Tanganjika (1961 - 1964),tanganjika (1961 - 1964)
https://d-nb.info/gnd/15633-4,None,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Tanganyika,tanganyika
https://d-nb.info/gnd/19826-2,http://www.wikidata.org/entity/Q2670092,https://d-nb.info/standards/elementset/gnd#Country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Cejlon,cejlon
