,geonameId,gndUri,wikidataUri,countryGeoname,stateGeoname,placeType,nameType,name,searchKey
0,https://sws.geonames.org/3582678,4005412-3,http://www.wikidata.org/entity/Q242,https://sws.geonames.org/3582678,,country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Belice,belice
1,https://sws.geonames.org/3582678,4005412-3,http://www.wikidata.org/entity/Q242,https://sws.geonames.org/3582678,,country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Britisch-Honduras (1981-),britisch-honduras
2,https://sws.geonames.org/3582678,4005412-3,http://www.wikidata.org/entity/Q242,https://sws.geonames.org/3582678,,country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,British Honduras (1981-),british honduras
3,https://sws.geonames.org/3582678,4005412-3,http://www.wikidata.org/entity/Q242,https://sws.geonames.org/3582678,,country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Belize (State),belize
4,https://sws.geonames.org/3582678,4005412-3,http://www.wikidata.org/entity/Q242,https://sws.geonames.org/3582678,,country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,British Honduras,british honduras
5,https://sws.geonames.org/3582678,4005412-3,http://www.wikidata.org/entity/Q242,https://sws.geonames.org/3582678,,country,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Belize,belize
6,https://sws.geonames.org/3277605,4088119-2,http://www.wikidata.org/entity/Q225,https://sws.geonames.org/3277605,,country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Bosna i Hercegovina,bosna i hercegovina
7,https://sws.geonames.org/3277605,4088119-2,http://www.wikidata.org/entity/Q225,https://sws.geonames.org/3277605,,country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Bosnien und Herzegowina,bosnien und herzegowina
8,https://sws.geonames.org/3277605,4088119-2,http://www.wikidata.org/entity/Q225,https://sws.geonames.org/3277605,,country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,People's Republic Bosnia and Hercegovina,people's republic bosnia and hercegovina
9,https://sws.geonames.org/3277605,4088119-2,http://www.wikidata.org/entity/Q225,https://sws.geonames.org/3277605,,country,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Bosnien und Herzegowina (Bosna i Hercegovina),bosnien und herzegowina
