place,label,labelLang,class,higherClass,geoname,gnd,partOf
http://www.wikidata.org/entity/Q11699739,Ghetoul Sokal,ro,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,Ghetto de Sokal,fr,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,Ghetto di Sokal',it,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,Ghetto Sokal,cs,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,Ghetto Sokal,de,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,Ghetto van Sokal,nl,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,Sokal Ghetto,en,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,Сокаль,ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,Сокаль (Гетто),uk,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,Сокаљ (Гето),sr,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,גטו סוקאל,he,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,סיקאל געטא,yi,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,حي اليهود سوكال,ar,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699740,Getto w Ołyce,pl,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699740,Ghetoul Olîka,ro,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699740,Ghetto de Olyka,fr,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699740,Ghetto Olyka,de,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699740,olikai gettó,hu,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699740,Ołyka Ghetto,en,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699740,Олика (Гетто),uk,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699740,Олыка,ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699740,גטו אוליקה,he,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699741,Getto w Trembowli,pl,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699741,Ghetoul Terebovlia,ro,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699741,Ghetto de Terebovlia,fr,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699741,Ghetto di Terebovlja,it,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699741,Ghetto Terebovlja,cs,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699741,Ghetto Terebowlja,de,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699741,Trembowla Ghetto,en,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699741,Теребовля,ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699741,Теребовлянське гетто,uk,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699741,גטו טרבובליה,he,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11795531,Obóz karno-śledczy w Żabikowie,pl,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,,
http://www.wikidata.org/entity/Q11795531,Polizeigefängnis der Sicherhaitspolizei und Arbeitserziehungslager Posen-Lenzingen,de,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,,
http://www.wikidata.org/entity/Q119517,Amersfoort,sv,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Amersfoort koncentrationslejr,da,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Amersfort konslageri,uz,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Camp de concentració d'Amersfoort,ca,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,camp de concentration d'Amersfoort,fr,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Campo de concentración de Amersfoort,es,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,campo di concentramento di Amersfoort,it,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Durchgangslager Amersfoort,de,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Kamp Amersfoart,fy,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Kamp Amersfoort,en,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Kamp Amersfoort,nl,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Kamp konsentrasi Amersfoort,id,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Koncentracijsko taborišče Amersfoort,sl,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Lagărul de concentrare Amersfoort,ro,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Obóz koncentracyjny w Amersfoort,pl,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,концлагерь Амерсфорт,ru,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,Ամերսֆորտ,hy,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,מחנה הריכוז אמרספורט,he,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,اردوگاه کار اجباری آمرسفورت,fa,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,معسكر اعتقال امرسفورت,ar,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,アメルスフォールト強制収容所,ja,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,阿默斯福特營,zh,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,阿默斯福特營,zh-hant,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,阿默斯福特营,zh-cn,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119517,阿默斯福特营,zh-hans,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4324649-7,
http://www.wikidata.org/entity/Q119679075,Getto w Sieradzu,pl,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q119720,camp de concentració d'Oranienburg,ca,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4226477-7,
