place,label,labelLang,class,higherClass,geoname,gnd,partOf
http://www.wikidata.org/entity/Q11104320,Ghetoul Bielsk Podlaski,ro,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11104320,Ghetto Bielsk Podlaski,de,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11104320,Ghetto de Bielsk Podlaski,fr,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11104320,Ghetto di Bielsk Podlaski,it,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11104320,Ghetto van Bielsk Podlaski,nl,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11104320,Gueto de Bielsk Podlaski,pt,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11104320,Белск Подляски (Гето),bg,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11104320,Бельск-Подляски (Гетто),ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11104320,Більськ-Підляський (Гетто),uk,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11104320,Бјелск Подласки (Гето),sr,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11104320,גטו ביילסק פודלסקי,he,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q111100052,Ghetto Rogachev,en,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q111100052,Гетто в Рогачёве,ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q112081158,Ghetto Žlobin,en,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q112081158,Гетто в Жлобине,ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q112084838,Ghetto Shchedrin,en,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q112084838,Гета ў Шчадрыне,be,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q112084838,Гетто в Щедрине (Гомельская область),ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q112084838,גטו שצ'דרין,he,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q112084838,שצ'טרין געטא,yi,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q112245456,Гетто в Добруше,ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q112692466,Гетто в Буда-Кошелёве,ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q112713736,Ghetto Uvarovichi,en,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q112713736,Гетто в Уваровичах,ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q113382756,"Children's Home, Spital Am Phyrn",en,http://www.wikidata.org/entity/Q153813,http://www.wikidata.org/entity/Q328468,,,
http://www.wikidata.org/entity/Q113382756,Fremdvölkisches Kinderheim,de,http://www.wikidata.org/entity/Q153813,http://www.wikidata.org/entity/Q328468,,,
http://www.wikidata.org/entity/Q113505546,Гета ў Петрыкаве,be,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q113505546,Гетто в Петрикове (Гомельская область),ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q1145467,campo de concentración de Steyr-Münichholz,es,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4689172-9,
http://www.wikidata.org/entity/Q1145467,campo di concentramento di Steyr-Münichholz,it,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4689172-9,
http://www.wikidata.org/entity/Q1145467,KZ-Außenlager Steyr-Münichholz,de,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4689172-9,
http://www.wikidata.org/entity/Q1145467,KZ-Nebenlager Steyr-Münichholz,de-at,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4689172-9,
http://www.wikidata.org/entity/Q1145467,Sous-camp de Steyr-Münichholz,fr,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4689172-9,
http://www.wikidata.org/entity/Q1145467,Steyr-Münichholz concentration camp,en,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,4689172-9,
http://www.wikidata.org/entity/Q114684809,Ghetto Shatilki,en,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q114684809,Гетто в Шатилках (Светлогорске),ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q114722420,Гетто в Паричах,ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q115609867,Arnstadt concentration camp,en,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,,
http://www.wikidata.org/entity/Q115611300,Pavllo Mela,sq,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,,
http://www.wikidata.org/entity/Q115611300,Pavlou Mela,en,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,,
http://www.wikidata.org/entity/Q115611300,Παύλος Μελάς,el,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,,
http://www.wikidata.org/entity/Q115611300,Павлос Мелас,ru,http://www.wikidata.org/entity/Q328468,http://www.wikidata.org/entity/Q328468,,,
http://www.wikidata.org/entity/Q116137053,Fremdarbeiterlager der Altmärkischen Kettenwerk GmbH (Alkett),de,http://www.wikidata.org/entity/Q15644358,http://www.wikidata.org/entity/Q328468,,,
http://www.wikidata.org/entity/Q11699736,Getto w Kopyczyńcach,pl,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699736,Kopyczyńce Ghetto,en,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699736,גטו קופיצ'ינצה,he,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,Getto w Kostopolu,pl,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,Ghetoul Kostopil,ro,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,Ghetto de Kostopil,fr,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,Ghetto di Kostopil',it,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,Ghetto Kostopil,cs,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,Ghetto Kostopil,de,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,Ghetto van Kostopil,nl,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,Gueto de Kostopil,es,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,Kostopol Ghetto,en,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,Костопиљ (Гето),sr,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,Костопіль (Гетто),uk,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,Костополь,ru,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699737,גטו קוסטופול,he,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
http://www.wikidata.org/entity/Q11699739,Getto w Sokalu,pl,http://www.wikidata.org/entity/Q2583015,http://www.wikidata.org/entity/Q2583015,,,
